"Variable","HR","CI","p","sig"
"Sleep consolidation (CV)","0.7047","0.5036--0.9862","0.0412","*"
"Mean nocturnal activity","0.9970","0.9898--1.0041","0.4049",""
"Days with early activity","1.0059","0.9584--1.0557","0.8130",""
"Days with late activity","1.0687","0.9725--1.1746","0.1675",""
"Age (per year)","1.1079","1.0957--1.1203","<0.001","***"
"Female","0.5986","0.4855--0.7382","<0.001","***"
"Race: Mexican American","1.3052","0.9711--1.7542","0.0774",""
"Race: Other Hispanic","1.0809","0.3444--3.3926","0.8939",""
"Race: Black","1.4674","1.0925--1.9711","0.0108","*"
"Race: Other","0.8228","0.3843--1.7617","0.6157",""
