"Variable","HR","CI","p","sig"
"Sleep consolidation (CV)","0.6440","0.4350--0.9532","0.0278","*"
"Mean nocturnal activity","1.0033","0.9949--1.0119","0.4427",""
"Days with early activity","1.1177","1.0364--1.2054","0.0039","**"
"Days with late activity","1.0664","0.9929--1.1452","0.0776",""
"Age (per year)","1.1167","1.0975--1.1361","<0.001","***"
"Female","1.0170","0.7274--1.4219","0.9216",""
"Race: Mexican American","0.8881","0.5048--1.5625","0.6806",""
"Race: Other Hispanic","0.6365","0.3954--1.0247","0.0629",""
"Race: Black","0.9899","0.7043--1.3913","0.9533",""
"Race: Other","0.8250","0.4762--1.4295","0.4929",""
